Autotrace Enabled
Shows the execution plan as well as statistics of the statement.
Unable to gather statistics please unsure user has correct access.
The statistic feature requires that the user is granted select on v_$sesstat, v_$statname and v_$session.
DT_PRIKAZU   ID_ORDER NAZEV                                              POCET_KUSU
01.01.18            1 CZK                                                      -143 
01.01.18            1 CZK                                                      -156 
01.01.18            1 CZK                                                      -132 
01.01.18            1 CZK                                                      -132 
01.01.18            1 CZK                                                      -100 
01.01.18            1 CZK                                                      -168 
01.01.18            1 CZK                                                      -120 
01.01.18            1 CZK                                                      -120 
01.01.18            1 CZK                                                      -120 
01.01.18            1 CZK                                                      -144 
01.01.18            1 CZK                                                      -154 
01.01.18            1 CZK                                                      -182 
01.01.18            1 CZK                                                      -168 
01.01.18            1 CZK                                                      -156 
01.01.18            1 CZK                                                      -143 
01.01.18            1 CZK                                                      -100 
01.01.18            1 CZK                                                      -140 
01.01.18            1 CZK                                                      -110 
01.01.18            1 CZK                                                      -168 
01.01.18            1 CZK                                                      -130 
01.01.18            1 CZK                                                      -121 
01.01.18            1 CZK                                                      -182 
01.01.18            1 CZK                                                      -196 
01.01.18            1 CZK                                                      -100 
01.01.18            1 CZK                                                      -156 
01.01.18            1 CZK                                                      -100 
01.01.18            1 CZK                                                      -143 
01.01.18            1 CZK                                                      -168 
01.01.18            1 CZK                                                      -182 
01.01.18            1 CZK                                                      -121 
01.01.18            1 CZK                                                      -196 
01.01.18            1 CZK                                                      -100 
01.01.18            1 CZK                                                      -182 
01.01.18            1 CZK                                                      -140 
01.01.18            1 CZK                                                      -169 
01.01.18            1 CZK                                                      -120 
01.01.18            1 CZK                                                      -196 
01.01.18            1 CZK                                                      -169 
01.01.18            1 CZK                                                      -130 
01.01.18            1 CZK                                                      -143 
01.01.18            1 CZK                                                      -154 
01.01.18            1 CZK                                                      -110 
01.01.18            1 CZK                                                      -120 
01.01.18            1 CZK                                                      -130 
01.01.18            1 CZK                                                      -110 
01.01.18            1 CZK                                                      -196 
01.01.18            1 CZK                                                      -156 
01.01.18            1 CZK                                                      -156 
01.01.18            1 CZK                                                      -156 
01.01.18            1 CZK                                                      -169 
01.01.18            1 CZK                                                      -169 
01.01.18            1 CZK                                                      -182 
01.01.18            1 CZK                                                      -120 
01.01.18            1 CZK                                                      -143 
01.01.18            1 CZK                                                      -154 
01.01.18            1 CZK                                                      -196 
01.01.18            1 CZK                                                      -121 
01.01.18            1 CZK                                                      -156 
01.01.18            1 CZK                                                      -144 
01.01.18            1 CZK                                                      -110 
01.01.18            1 CZK                                                      -110 
01.01.18            1 CZK                                                      -100 
01.01.18            1 CZK                                                      -100 
01.01.18            1 CZK                                                      -130 
01.01.18            1 CZK                                                      -156 
01.01.18            1 CZK                                                      -120 
01.01.18            1 CZK                                                      -169 
01.01.18            1 CZK                                                      -121 
01.01.18            1 CZK                                                      -132 
01.01.18            1 CZK                                                      -143 
01.01.18            1 CZK                                                      -140 
01.01.18            1 CZK                                                      -130 
01.01.18            1 CZK                                                      -110 
01.01.18            1 CZK                                                      -132 
01.01.18            1 CZK                                                      -143 
01.01.18            1 CZK                                                      -154 
01.01.18            1 CZK                                                      -168 
01.01.18            1 CZK                                                      -121 
01.01.18            1 CZK                                                      -120 
01.01.18            1 CZK                                                      -132 
01.01.18            1 CZK                                                      -156 
01.01.18            1 CZK                                                      -121 
01.01.18            1 CZK                                                      -168 
01.01.18            1 CZK                                                      -156 
01.01.18            1 CZK                                                      -121 
01.01.18            1 CZK                                                      -132 
01.01.18            1 CZK                                                      -182 
01.01.18            1 CZK                                                      -132 
01.01.18            1 CZK                                                      -121 
01.01.18            1 CZK                                                      -156 
01.01.18            1 CZK                                                      -140 
01.01.18            1 CZK                                                      -121 
01.01.18            1 CZK                                                      -154 
01.01.18            1 CZK                                                      -182 
01.01.18            1 CZK                                                      -121 
01.01.18            1 CZK                                                      -169 
01.01.18            1 CZK                                                      -100 
01.01.18            1 CZK                                                      -154 
01.01.18            1 CZK                                                      -182 
01.01.18            1 CZK                                                      -140 
01.01.18            1 CZK                                                      -120 
01.01.18            1 CZK                                                      -120 
01.01.18            1 CZK                                                      -120 
01.01.18            1 CZK                                                      -130 
01.01.18            1 CZK                                                      -156 
01.01.18            1 CZK                                                      -120 
01.01.18            1 CZK                                                      -140 
01.01.18            1 CZK                                                      -182 
01.01.18            1 CZK                                                      -132 
01.01.18            1 CZK                                                      -156 
01.01.18            1 CZK                                                      -144 
01.01.18            1 DCC PLC                                                    12 
01.01.18            1 DCC PLC                                                    10 
01.01.18            1 DCC PLC                                                    11 
01.01.18            1 DCC PLC                                                    14 
01.01.18            1 DCC PLC                                                    14 
01.01.18            1 DCC PLC                                                  -140 
01.01.18            1 DCC PLC                                                    13 
01.01.18            1 DCC PLC                                                    12 
01.01.18            1 DCC PLC                                                    14 
01.01.18            1 DCC PLC                                                    10 
01.01.18            1 DCC PLC                                                    10 
01.01.18            1 Emerging Europe Debt Fund A-shares CZK                   -110 
01.01.18            1 EUR                                                        10 
01.01.18            1 EUR                                                        11 
01.01.18            1 EUR                                                        12 
01.01.18            1 EUR                                                        12 
01.01.18            1 EUR                                                        11 
01.01.18            1 EUR                                                      -132 
01.01.18            1 EUR                                                        13 
01.01.18            1 GARMIN LTD                                                 12 
01.01.18            1 GARMIN LTD                                                 10 
01.01.18            1 GARMIN LTD                                                 10 
01.01.18            1 GARMIN LTD                                                 14 
01.01.18            1 GARMIN LTD                                                 13 
01.01.18            1 GARMIN LTD                                                 12 
01.01.18            1 GARMIN LTD                                                 13 
01.01.18            1 GARMIN LTD                                                 10 
01.01.18            1 GARMIN LTD                                                 11 
01.01.18            1 GARMIN LTD                                                 10 
01.01.18            1 GARMIN LTD                                               -143 
01.01.18            1 GEBERIT AG-REG                                             11 
01.01.18            1 GEBERIT AG-REG                                             12 
01.01.18            1 GEBERIT AG-REG                                             14 
01.01.18            1 GEBERIT AG-REG                                             12 
01.01.18            1 GEBERIT AG-REG                                             10 
01.01.18            1 GEBERIT AG-REG                                           -100 
01.01.18            1 GEBERIT AG-REG                                             13 
01.01.18            1 GEBERIT AG-REG                                             14 
01.01.18            1 GEBERIT AG-REG                                             10 
01.01.18            1 GEBERIT AG-REG                                             12 
01.01.18            1 GEBERIT AG-REG                                             10 
01.01.18            1 GENERALI COMMODITY A CZK                                 -130 
01.01.18            1 GENERALI COMMODITY A EUR                                 -154 
01.01.18            1 GENERALI COMMODITY A PLN                                 -156 
01.01.18            1 GENERALI CORPORATE BONDS A EUR                           -154 
01.01.18            1 GENERALI CORPORATE BONDS A PLN                           -132 
01.01.18            1 GENERALI CORPORATE BONDS B CZK                           -168 
01.01.18            1 GENERALI CORPORATE BONDS B EUR                           -140 
01.01.18            1 GENERALI CORPORATE BONDS B HUF                           -130 
01.01.18            1 GENERALI CORPORATE BONDS B PLN                           -110 
01.01.18            1 GENERALI CORPORATE BONDS B RON                           -132 
01.01.18            1 GENERALI EMER. EUROPE BOND A PLN                         -132 
01.01.18            1 GENERALI EMER. EUROPE BOND A RON                         -120 
01.01.18            1 GENERALI EMER. EUROPE BOND Y EUR                         -120 
01.01.18            1 GENERALI EMERGING EUROPE A CZK                           -168 
01.01.18            1 GENERALI EMERGING EUROPE A EUR                           -154 
01.01.18            1 GENERALI EMERGING EUROPE A PLN                           -110 
01.01.18            1 GENERALI EMERGING EUROPE I EUR                           -154 
01.01.18            1 GENERALI GLOBAL EQUITY A EUR                             -182 
01.01.18            1 GENERALI GLOBAL EQUITY A PLN                             -120 
01.01.18            1 GENERALI NEW ECONOMIES A EUR                             -154 
01.01.18            1 GENERALI NEW ECONOMIES A PLN                             -120 
01.01.18            1 GENERALI OIL AND ENERGY A EUR                            -182 
01.01.18            1 GENERALI OIL AND ENERGY A PLN                            -132 
01.01.18            1 GENERALI PREMIUM CONSERVATIVE A EUR                      -130 
01.01.18            1 GENERALI PREMIUM CONSERVATIVE A PLN                      -130 
01.01.18            1 HSBC MSCI TURKEY UCITS ETF                               -100 
01.01.18            1 INGERSOLL-RAND PLC.                                      -120 
01.01.18            1 INVESCO MSCI WORLD ETF                                   -154 
01.01.18            1 INVESCO NASDAQ-100 DIST ETF                              -143 
01.01.18            1 INVESCO PHYSICAL GOLD ETC                                -140 
01.01.18            1 INVESCO PHYSICAL PALLADIUM                               -110 
01.01.18            1 INVESCO PHYSICAL PLATINUM                                -169 
01.01.18            1 INVESCO PHYSICAL SILVER ETC                              -140 
01.01.18            1 INVESCO STX 600 OPT BANKS UCITS ETF                      -121 
01.01.18            1 ISHARES ASIA PROPERTY YIELD UCITS ETF                    -196 
01.01.18            1 ISHARES BC GBL INF LNK BD                                -182 
01.01.18            1 ISHARES CORE EURO CORP BOND UCITS ETF                    -140 
01.01.18            1 ISHARES CORE FTSE 100 UCITS                                10 
01.01.18            1 ISHARES CORE FTSE 100 UCITS                                12 
01.01.18            1 ISHARES CORE FTSE 100 UCITS                                12 
01.01.18            1 ISHARES CORE FTSE 100 UCITS                                13 
01.01.18            1 ISHARES CORE FTSE 100 UCITS                                11 
01.01.18            1 ISHARES CORE FTSE 100 UCITS                                14 
01.01.18            1 ISHARES CORE FTSE 100 UCITS                                11 
01.01.18            1 ISHARES CORE FTSE 100 UCITS                                14 
01.01.18            1 ISHARES CORE FTSE 100 UCITS                                13 
01.01.18            1 ISHARES CORE FTSE 100 UCITS                              -130 
01.01.18            1 ISHARES CORE FTSE 100 UCITS                                14 
01.01.18            1 ISHARES CORE MSCI WORLD UCITS ETF                        -143 
01.01.18            1 ISHARES CORE SP 500 UCITS ETF                            -156 
01.01.18            1 ISHARES DJ ASIA/PAC SD 30 ETF                            -100 
01.01.18            1 ISHARES DJ INDUSTRIAL AVERAGE UCITS ETF                  -154 
01.01.18            1 ISHARES EMERGING MKT DIV UCITS                           -182 
01.01.18            1 iShares EURO STOXX 50                                    -156 
01.01.18            1 iShares European Property Yield UCITS ETF                -143 
01.01.18            1 ISHARES EURSTOXX SELECT DIV30 GBP                        -169 
01.01.18            1 ISHARES FTSE MIB UCITS ETF                               -154 
01.01.18            1 ISHARES FTSE UK DIVIDEND PLUS                            -143 
01.01.18            1 ISHARES FTSE 100 UCITS ACC                               -169 
01.01.18            1 ISHARES II PLC                                           -132 
01.01.18            1 ISHARES MARKIT IBOXX EUR H/Y                             -130 
01.01.18            1 ISHARES MSCI AC FAR EAST EX-JAPAN ETF                    -140 
01.01.18            1 ISHARES MSCI EMERG. MKTS                                 -169 
01.01.18            1 ISHARES MSCI EUROPE MINIMUM VOLATILITY UCITS ETF         -168 
01.01.18            1 ISHARES MSCI POLAND ETF                                  -168 
01.01.18            1 ISHARES MSCI RUSSIA ADR/GDR ETF                          -120 
01.01.18            1 ISHARES MSCI TURKEY FUND                                 -154 
01.01.18            1 ISHARES NASDAQ 100 USD ACC ETF                           -182 
01.01.18            1 ISHARES PHYSICAL GOLD ETC                                -120 
01.01.18            1 ISHARES PHYSICAL PALLADIUM ETC                           -130 
01.01.18            1 ISHARES PHYSICAL PLATINUM ETC                            -132 
01.01.18            1 ISHARES PHYSICAL SILVER ETC                              -196 
01.01.18            1 ISHARES SP EMER MRKT INFRAS                              -143 
01.01.18            1 ISHARES SP 500 MINIMUM VOLATILITY UCITS ETF              -168 
01.01.18            1 ISHARES SP 500 UCITS ETF DIST                            -132 
01.01.18            1 IVY Rosewood Diversified Feeder Fund EUR                 -132 
01.01.18            1 JAZZ PHARMACEUTICALS PLC                                 -182 
01.01.18            1 KINGSPAN GROUP PLC                                         10 
01.01.18            1 KINGSPAN GROUP PLC                                         12 
01.01.18            1 KINGSPAN GROUP PLC                                         10 
01.01.18            1 KINGSPAN GROUP PLC                                         13 
01.01.18            1 KINGSPAN GROUP PLC                                         12 
01.01.18            1 KINGSPAN GROUP PLC                                       -154 
01.01.18            1 KINGSPAN GROUP PLC                                         11 
01.01.18            1 KINGSPAN GROUP PLC                                         14 
01.01.18            1 KINGSPAN GROUP PLC                                         12 
01.01.18            1 KINGSPAN GROUP PLC                                         11 
01.01.18            1 KINGSPAN GROUP PLC                                         12 
01.01.18            1 NESTLE SA-REG                                              10 
01.01.18            1 NESTLE SA-REG                                              10 
01.01.18            1 NESTLE SA-REG                                              11 
01.01.18            1 NESTLE SA-REG                                              13 
01.01.18            1 NESTLE SA-REG                                              14 
01.01.18            1 NESTLE SA-REG                                              13 
01.01.18            1 NESTLE SA-REG                                              13 
01.01.18            1 NESTLE SA-REG                                              13 
01.01.18            1 NESTLE SA-REG                                              14 
01.01.18            1 NESTLE SA-REG                                              11 
01.01.18            1 NESTLE SA-REG                                            -132 
01.01.18            1 NESTLE SA-REG CHF                                          13 
01.01.18            1 NESTLE SA-REG CHF                                          14 
01.01.18            1 NESTLE SA-REG CHF                                          12 
01.01.18            1 NESTLE SA-REG CHF                                          10 
01.01.18            1 NESTLE SA-REG CHF                                          13 
01.01.18            1 NESTLE SA-REG CHF                                          12 
01.01.18            1 NESTLE SA-REG CHF                                          10 
01.01.18            1 NESTLE SA-REG CHF                                          12 
01.01.18            1 NESTLE SA-REG CHF                                          11 
01.01.18            1 NESTLE SA-REG CHF                                          10 
01.01.18            1 NESTLE SA-REG CHF                                        -182 
01.01.18            1 NOBLE CORP. OLD 2013                                       13 
01.01.18            1 NOBLE CORP. OLD 2013                                       14 
01.01.18            1 NOBLE CORP. OLD 2013                                       10 
01.01.18            1 NOBLE CORP. OLD 2013                                       12 
01.01.18            1 NOBLE CORP. OLD 2013                                       11 
01.01.18            1 NOBLE CORP. OLD 2013                                     -110 
01.01.18            1 NOBLE CORP. OLD 2013                                       13 
01.01.18            1 NOBLE CORP. OLD 2013                                       11 
01.01.18            1 NOBLE CORP. OLD 2013                                       10 
01.01.18            1 NOBLE CORP. OLD 2013                                       10 
01.01.18            1 NOBLE CORP. OLD 2013                                       13 
01.01.18            1 PENTAIR LTD.                                               12 
01.01.18            1 PENTAIR LTD.                                               12 
01.01.18            1 PENTAIR LTD.                                               13 
01.01.18            1 PENTAIR LTD.                                               13 
01.01.18            1 PENTAIR LTD.                                               14 
01.01.18            1 PENTAIR LTD.                                             -140 
01.01.18            1 PENTAIR LTD.                                               14 
01.01.18            1 PENTAIR LTD.                                               10 
01.01.18            1 PENTAIR LTD.                                               13 
01.01.18            1 PENTAIR LTD.                                               10 
01.01.18            1 PENTAIR LTD.                                               14 
01.01.18            1 READYMIX PLC                                             -169 
01.01.18            1 SEAGATE TECHNOLOGY                                       -156 
01.01.18            1 Sirius Emerging Equity Fund EUR                          -168 
01.01.18            1 SMURFIT KAPPA GROUP PLC                                  -144 
01.01.18            1 SOURCE EURO STOXX 50 ETF - A                             -168 
01.01.18            1 SOURCE EUROPE PLUS                                       -169 
01.01.18            1 SOURCE MSCI EMERG. MARKETSUCITS ETF-A                    -130 
01.01.18            1 SOURCE SP 500 ETF                                        -143 
01.01.18            1 SSGA SPDR ETFS EUR SP 500                                -143 
01.01.18            1 TE Connectivity Ltd                                        10 
01.01.18            1 TE Connectivity Ltd                                        11 
01.01.18            1 TE Connectivity Ltd                                        11 
01.01.18            1 TE Connectivity Ltd                                        12 
01.01.18            1 TE Connectivity Ltd                                        10 
01.01.18            1 TE Connectivity Ltd                                      -132 
01.01.18            1 TE Connectivity Ltd                                        11 
01.01.18            1 TE Connectivity Ltd                                        13 
01.01.18            1 TE Connectivity Ltd                                        13 
01.01.18            1 TE Connectivity Ltd                                        13 
01.01.18            1 TE Connectivity Ltd                                        13 
01.01.18            1 Thames River High Income Fund                            -154 
01.01.18            1 TRANSOCEAN LTD                                           -120 
01.01.18            1 TRANSOCEAN LTD                                             13 
01.01.18            1 TRANSOCEAN LTD                                             11 
01.01.18            1 TRANSOCEAN LTD                                             14 
01.01.18            1 TRANSOCEAN LTD                                             12 
01.01.18            1 TRANSOCEAN LTD                                             11 
01.01.18            1 TRANSOCEAN LTD                                             14 
01.01.18            1 TRANSOCEAN LTD                                             10 
01.01.18            1 TRANSOCEAN LTD                                             13 
01.01.18            1 TRANSOCEAN LTD                                             14 
01.01.18            1 TRANSOCEAN LTD                                             14 
01.01.18            1 UBS AG - CHF                                               11 
01.01.18            1 UBS AG - CHF                                               13 
01.01.18            1 UBS AG - CHF                                             -154 
01.01.18            1 UBS AG - CHF                                               11 
01.01.18            1 UBS AG - CHF                                               13 
01.01.18            1 UBS AG - CHF                                               12 
01.01.18            1 UBS AG - CHF                                               14 
01.01.18            1 UBS AG - CHF                                               12 
01.01.18            1 UBS AG - CHF                                               12 
01.01.18            1 UBS AG - CHF                                               10 
01.01.18            1 UBS AG - CHF                                               11 
01.01.18            1 UBS AG - RTS                                             -156 
01.01.18            1 UBS AG - RTS                                               10 
01.01.18            1 UBS AG - RTS                                               11 
01.01.18            1 UBS AG - RTS                                               13 
01.01.18            1 UBS AG - RTS                                               13 
01.01.18            1 UBS AG - RTS                                               10 
01.01.18            1 UBS AG - RTS                                               14 
01.01.18            1 UBS AG - RTS                                               11 
01.01.18            1 UBS AG - RTS                                               13 
01.01.18            1 UBS AG - RTS                                               13 
01.01.18            1 UBS AG - RTS                                               14 
01.01.18            1 UBS AG - RTS USD                                           11 
01.01.18            1 UBS AG - RTS USD                                           13 
01.01.18            1 UBS AG - RTS USD                                           12 
01.01.18            1 UBS AG - RTS USD                                           13 
01.01.18            1 UBS AG - RTS USD                                           12 
01.01.18            1 UBS AG - RTS USD                                           11 
01.01.18            1 UBS AG - RTS USD                                           11 
01.01.18            1 UBS AG - RTS USD                                           10 
01.01.18            1 UBS AG - RTS USD                                         -120 
01.01.18            1 UBS AG - RTS USD                                           13 
01.01.18            1 UBS AG - RTS USD                                           12 
01.01.18            1 USD                                                        12 
01.01.18            1 USD                                                        13 
01.01.18            1 USD                                                      -132 
01.01.18            1 USD                                                        10 
01.01.18            1 USD                                                        10 
01.01.18            1 USD                                                        11 
01.01.18            1 USD                                                        10 
01.01.18            1 USD                                                        11 
01.01.18            1 USD                                                        10 
01.01.18            1 USD                                                        13 
01.01.18            1 USD                                                        12 
01.01.18            1 VANGUARD FTSE EMERGING MARKETS ETF                       -132 
01.01.18            1 VANGUARD SP 500 ETF / IE                                 -130 
01.01.18            1 WARNER CHILCOTT PLC-CLASS A                              -156 
01.01.18            1 ZKB GOLD ETF                                               11 
01.01.18            1 ZKB GOLD ETF                                               14 
01.01.18            1 ZKB GOLD ETF                                               13 
01.01.18            1 ZKB GOLD ETF                                               11 
01.01.18            1 ZKB GOLD ETF                                               10 
01.01.18            1 ZKB GOLD ETF                                             -154 
01.01.18            1 ZKB GOLD ETF                                               11 
01.01.18            1 ZKB GOLD ETF                                               10 
01.01.18            1 ZKB GOLD ETF                                               14 
01.01.18            1 ZKB GOLD ETF                                               12 
01.01.18            1 ZKB GOLD ETF                                               14 
03.01.18            2 ADIENT PLC                                               -144 
03.01.18            2 ALLEGION PLC                                             -169 
03.01.18            2 ALLERGAN PLC                                             -168 
03.01.18            2 ALLERGAN PLC old                                         -169 
03.01.18            2 ANGLO IRISH BANK CORP PLC  old acquired                    13 
03.01.18            2 ANGLO IRISH BANK CORP PLC  old acquired                    11 
03.01.18            2 ANGLO IRISH BANK CORP PLC  old acquired                    12 
03.01.18            2 ANGLO IRISH BANK CORP PLC  old acquired                    14 
03.01.18            2 ANGLO IRISH BANK CORP PLC  old acquired                    13 
03.01.18            2 ANGLO IRISH BANK CORP PLC  old acquired                    13 
03.01.18            2 ANGLO IRISH BANK CORP PLC  old acquired                    10 
03.01.18            2 ANGLO IRISH BANK CORP PLC  old acquired                    11 
03.01.18            2 ANGLO IRISH BANK CORP PLC  old acquired                    13 
03.01.18            2 ANGLO IRISH BANK CORP PLC  old acquired                    14 
03.01.18            2 ASTALDI S.P.A                                            -140 
03.01.18            2 ATLANTIA SPA                                             -168 
03.01.18            2 AZIMUT HOLDING                                           -132 
03.01.18            2 BANK OF IRELAND                                            13 
03.01.18            2 BANK OF IRELAND                                            13 
03.01.18            2 BANK OF IRELAND                                            13 
03.01.18            2 BANK OF IRELAND                                            10 
03.01.18            2 BANK OF IRELAND                                            10 
03.01.18            2 BANK OF IRELAND                                            13 
03.01.18            2 BANK OF IRELAND                                            12 
03.01.18            2 BANK OF IRELAND                                            13 
03.01.18            2 BANK OF IRELAND                                            11 
03.01.18            2 BANK OF IRELAND                                            12 
03.01.18            2 BAREP Global Credit Class B (EUR)                          11 
03.01.18            2 BAREP Global Credit Class B (EUR)                          12 
03.01.18            2 BAREP Global Credit Class B (EUR)                          14 
03.01.18            2 BAREP Global Credit Class B (EUR)                          13 
03.01.18            2 BAREP Global Credit Class B (EUR)                          11 
03.01.18            2 BAREP Global Credit Class B (EUR)                          13 
03.01.18            2 BAREP Global Credit Class B (EUR)                          11 
03.01.18            2 BAREP Global Credit Class B (EUR)                          10 
03.01.18            2 BAREP Global Credit Class B (EUR)                          10 
03.01.18            2 BAREP Global Credit Class B (EUR)                          14 
03.01.18            2 BENI STABILI SPA                                         -144 
03.01.18            2 BOOST BTP 10Y 5X SHORT DAILY                             -196 
03.01.18            2 BPER BANCA                                               -120 
03.01.18            2 BULGARI SPA                                              -154 
03.01.18            2 BUZZI UNICEM SPA                                         -140 
03.01.18            2 CATTOLICA ASSICURAZIONI SC                               -196 
03.01.18            2 CHECK POINT SW TECH                                      -169 
03.01.18            2 COMPUGEN LTD.                                            -120 
03.01.18            2 CONSEQ INVEST CONSERV. BOND F.                             14 
03.01.18            2 CONSEQ INVEST CONSERV. BOND F.                             13 
03.01.18            2 CONSEQ INVEST CONSERV. BOND F.                             12 
03.01.18            2 CONSEQ INVEST CONSERV. BOND F.                             12 
03.01.18            2 CONSEQ INVEST CONSERV. BOND F.                             11 
03.01.18            2 CONSEQ INVEST CONSERV. BOND F.                             10 
03.01.18            2 CONSEQ INVEST CONSERV. BOND F.                             10 
03.01.18            2 CONSEQ INVEST CONSERV. BOND F.                             11 
03.01.18            2 CONSEQ INVEST CONSERV. BOND F.                             11 
03.01.18            2 CONSEQ INVEST CONSERV. BOND F.                             14 
03.01.18            2 CONSEQ INVEST DLUHOPISOVY OPF                              12 
03.01.18            2 CONSEQ INVEST DLUHOPISOVY OPF                              11 
03.01.18            2 CONSEQ INVEST DLUHOPISOVY OPF                              13 
03.01.18            2 CONSEQ INVEST DLUHOPISOVY OPF                              11 
03.01.18            2 CONSEQ INVEST DLUHOPISOVY OPF                              10 
03.01.18            2 CONSEQ INVEST DLUHOPISOVY OPF                              12 
03.01.18            2 CONSEQ INVEST DLUHOPISOVY OPF                              12 
03.01.18            2 CONSEQ INVEST DLUHOPISOVY OPF                              13 
03.01.18            2 CONSEQ INVEST DLUHOPISOVY OPF                              14 
03.01.18            2 CONSEQ INVEST DLUHOPISOVY OPF                              13 
03.01.18            2 CONSEQ INVEST NEW EUROPE BOND F.                           11 
03.01.18            2 CONSEQ INVEST NEW EUROPE BOND F.                           12 
03.01.18            2 CONSEQ INVEST NEW EUROPE BOND F.                           11 
03.01.18            2 CONSEQ INVEST NEW EUROPE BOND F.                           11 
03.01.18            2 CONSEQ INVEST NEW EUROPE BOND F.                           11 
03.01.18            2 CONSEQ INVEST NEW EUROPE BOND F.                           11 
